unix,Date,symbol,Open,High,Low,Close,Volume BTC,Volume,tradecount
1658019600,2022.07.17 1:00,BTC/USDT,21292.88000000,21339.52000000,21082.80000000,21155.33000000,4609.19762000,97621351.57977070,160887
1658016000,2022.07.17 0:00,BTC/USDT,21195.60000000,21348.86000000,21187.19000000,21295.57000000,49882364000,106125418.62774470,173840
1658012400,2022.07.16 23:00,BTC/USDT,21296.65000000,21304.50000000,21155.23000000,21195.60000000,3705.14724000,78597487.56602820,130164
1658008800,2022.07.16 22:00,BTC/USDT,21196.69000000,21316.27000000,21137.45000000,21296.65000000,3571.67782000,757839139187040,142905
1658005200,2022.07.16 21:00,BTC/USDT,21213.78000000,21345.99000000,21086.44000000,21196.69000000,37901873000,804199291095010,138796
1658001600,2022.07.16 20:00,BTC/USDT,211900000000,21225.56000000,20911.64000000,21211.36000000,7012.45206000,147816287.68354130,199953
1657998000,2022.07.16 19:00,BTC/USDT,21292.24000000,213944000000,211500000000,211924000000,5552.71872000,118198059.88459080,167909
1657994400,2022.07.16 18:00,BTC/USDT,21246.65000000,213625000000,211987000000,21289.51000000,5830.35035000,124083177.13954020,189460
1657990800,2022.07.16 17:00,BTC/USDT,21464.13000000,21588.94000000,21216.91000000,21246.65000000,11357.58341000,243521141.72223860,293200
1657987200,2022.07.16 16:00,BTC/USDT,209432000000,214900000000,209217000000,21466.78000000,206818824000,438999451.69578170,438961
1657983600,2022.07.16 15:00,BTC/USDT,20814.39000000,20957.46000000,20811.74000000,209432000000,5992.33477000,125252195.92598040,186119
1657980000,2022.07.16 14:00,BTC/USDT,20839.60000000,20873.10000000,20732.65000000,20816.10000000,4477.46505000,931617234458860,158108
